15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15     ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
15  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 9     ,14  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 7:1, 7  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
15  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 9     , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 7:1, 7  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
15  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 9     , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 7:1, 7  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
15  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 9     , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 7:1, 7  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
15  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 9     , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 7:1, 7  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ;
15  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 9     , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 7:1, 7  , 7  , 7  , 7  , 7  , 7  , 7  ,15  ;
15  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 9     , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  , 7:1, 7:1, 7:1, 7:1, 7:1, 7:1, 7:1, 7:1,15  ;
15  , 7:1,10  ,10  ,10  ,10  ,10  ,10  , 9     , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,15  ;
15  , 7  , 7:1,10  ,10  ,10  ,10  ,10  , 9     , 9  , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,15  ;
15  , 7  , 7:1,10  ,10  ,10  ,10  ,10  ,10     , 9  , 9  , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,15  ;
15  , 7  , 7:1,10  ,10  ,10  ,10  ,10  ,10     ,10  , 9  , 9  , 9  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,15  ;
15  , 7  , 7:1,10  ,10  ,10  ,10  ,10  ,10     ,10  ,10  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  ,15  ;
15  , 7  , 7:1,10  ,10  ,10  ,10  ,10  ,10     ,10  ,10  ,10  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  ,15  ;
15  , 7  , 7  , 7:1,10  ,10  ,10  ,10  ,10     ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,15  ;
15  , 7  , 7  , 7  , 7:1,10  ,10  ,10  ,10     ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,10  ,15  ;
15  , 7  , 7  , 7  , 7:1,10  ,10  ,10:1,10:1   ,10:1,10  ,10  ,10  , 7:1, 7:1, 7:1, 7:1, 7:1, 7:1, 7:1, 7:1, 7:1, 7:1, 7:1, 7:1,15  ;
15  , 7  , 7  , 7  , 7:1,10  ,10  ,10:1,10:1:37,10:1,10  ,10  ,10  , 7:1, 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  ,15  ;
15  , 7  , 7  , 7  , 7  , 7:1,10  ,10  ,10     ,10  ,10  ,10  , 7:1, 7  , 7  , 7  , 7  , 7  , 7  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ;
15  , 7  , 7  , 7  , 7  , 7  , 7:1,10  ,10     ,10  ,10  , 7:1, 7  , 7  , 7  , 7  , 7  , 7  , 7  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
15  , 7  , 7  , 7  , 7  , 7  , 7  , 7:1, 7:1   , 7:1, 7:1, 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
15  , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7     , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
15  , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7     , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  , 7  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15     ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,15  ,-1:1,-1:1,-1:1,-1:1,-1:1,-1:1;
